new entry "TOT_Zone_Clear"
type "SpellData"
data "SpellType" "Zone"
data "SpellProperties" "GROUND:IF(Surface('SurfaceBlood')):SurfaceChange(DestroyWater);GROUND:IF(Surface('SurfaceBloodSilver')):SurfaceChange(DestroyWater);GROUND:IF(Surface('SurfaceAsh')):SurfaceClearLayer(Ground) "
data "SurfaceType" "Sentinel"
data "SurfaceLifetime" "0"
data "SurfaceGrowStep" "300"
data "SurfaceGrowInterval" "1"
data "Shape" "Cone"
data "FrontOffset" "0"
data "Range" "300"
data "Angle" "360"
data "SpellFlags" "CannotTargetCharacter;CannotTargetItems;Invisible;ImmediateCast;IgnoreVisionBlock"
data "Autocast" "Yes"
